Date,walk_forward,fixed_6_30,hindsight_20_200,nifty100
2022-03-23,2911788.0796923474,1078917.285729579,4665651.435374441,3041611.2630272373
2022-03-24,2943963.959550781,1090946.6062206116,4707208.355109543,3038773.4882908994
2022-03-25,2935395.902992396,1090855.372864254,4683965.412829012,3028381.093847622
2022-03-28,2968260.521700588,1098397.211752929,4696864.791952637,3037478.717035028
2022-03-29,2971293.7151614535,1102818.9297298894,4686263.768278314,3055163.9746592776
2022-03-30,2958897.1069075917,1098406.373093851,4668521.742788209,3083336.469159795
2022-03-31,2992387.052886585,1105787.7320092218,4681073.874208257,3079127.7831237665
2022-04-01,3014657.7850197656,1114832.5363824554,4754502.772107203,3117313.2273264793
2022-04-04,3047428.046505489,1124634.2406078642,4789209.4868485555,3183111.1868302203
2022-04-05,3054640.307682036,1130569.4435843443,4784218.67499888,3172696.9116563885
2022-04-06,3076748.251290391,1135069.5901062766,4800705.82895599,3151738.8883199203
2022-04-07,3057562.673916833,1128869.3627635913,4763661.805652488,3124802.9048402463
2022-04-08,3090052.0557849454,1141186.4245112424,4804305.547289523,3154150.153639723
2022-04-11,3086474.592385568,1144697.2767212298,4792111.83622602,3144204.8909189184
2022-04-12,3068657.537068877,1131271.8311904042,4688578.374052664,3117171.889187772
2022-04-13,3082040.325397522,1132716.7419171,4705526.065023868,3109751.264310986
2022-04-18,3066365.3252686723,1128528.4215720121,4618069.409376246,3062776.776755409
2022-04-19,3015993.434563167,1130598.8455359687,4608704.587640329,3021678.0586323026
2022-04-20,3021054.4538956895,1130746.5918738993,4636336.271904472,3050633.0172374356
2022-04-21,3023204.0801180704,1131846.6967239135,4708649.766984878,3094925.697213012
2022-04-22,2985094.162686309,1118134.109474635,4649448.220692202,3058431.3111331756
2022-04-25,2910760.5669944724,1089207.818838264,4503872.1744960155,3016503.5426419727
2022-04-26,2955988.0217889873,1095690.5813114087,4577599.837826023,3064844.324747877
2022-04-27,2939524.2545090793,1087850.7793559164,4530002.01848431,3033563.0953737674
2022-04-28,2964575.329855011,1095835.9020291998,4586786.800473338,3072004.4482319993
2022-04-29,2945064.983554554,1085668.8357548842,4560743.307017243,3044385.1636054246
2022-05-02,2950662.746989565,1080906.4989012033,4560657.204890247,3037772.943660296
2022-05-04,2883477.3620713316,1063333.1379001997,4518527.72122778,2965296.735215014
2022-05-05,2894769.0415882547,1069712.7261921149,4505237.2181914495,2967551.61645649
2022-05-06,2868122.716771639,1066936.8197306138,4487852.360059703,2917469.630705853
2022-05-09,2843062.5657058614,1056327.2862861662,4451358.767784406,2891667.9855351313
2022-05-10,2797408.603814297,1056850.6570518285,4322184.703155283,2871493.5312162885
2022-05-11,2796893.341205339,1054415.2903399323,4308353.368930832,2859858.6113858246
2022-05-12,2759916.7442044313,1048237.3876305732,4247947.950120954,2796648.382871107
2022-05-13,2769698.954844873,1051372.9966002153,4269403.135549598,2790088.084392754
2022-05-16,2783928.76000512,1055317.3964314219,4307791.3566121375,2806205.6774992486
2022-05-17,2830786.893702419,1058103.327744489,4378794.288014669,2879391.0905331043
2022-05-18,2836391.0128784045,1059188.2522262651,4360737.290968363,2877151.1012074337
2022-05-19,2818566.1504310328,1050817.9022351177,4307572.355864202,2800600.253215293
2022-05-20,2874890.551704171,1054934.03462002,4367163.792061055,2875502.886973969
2022-05-23,2852980.75932869,1050939.2815062166,4382001.245683149,2863789.495902642
2022-05-24,2810850.498904921,1052788.8873138574,4371326.20269486,2846758.3712668177
2022-05-25,2784697.0484920205,1043880.8218499804,4344464.62555288,2826615.6598803564
2022-05-26,2775676.4351210934,1048876.1232292722,4341105.59812125,2855508.4907617327
2022-05-27,2814043.3590872046,1062078.0189039605,4325681.864654053,2886044.6257015495
2022-05-30,2834521.2113850783,1059637.3278544794,4365150.269332046,2942165.1530341343
2022-05-31,2826679.9004465677,1059476.7604206759,4391391.7583284015,2933761.969714185
2022-06-01,2831808.2026316184,1057098.5914494614,4401460.5800356055,2919984.437815212
2022-06-02,2842739.0636869287,1055322.3315994528,4428782.728092273,2938468.4973975862
2022-06-03,2817438.73758948,1043272.669559137,4380881.528677139,2925659.2201678925
2022-06-06,2812704.3575069653,1046325.6755141473,4368501.743259865,2922078.112889691
2022-06-07,2817955.279883618,1043989.4176397255,4390207.665157153,2895722.4151234096
2022-06-08,2801076.5138768316,1040811.8817806402,4396284.625063562,2885456.9254799453
2022-06-09,2811340.4157194546,1050429.5645034632,4416064.289505969,2907624.5884769284
2022-06-10,2796551.0729504465,1041509.6717022987,4395816.36997901,2861587.5543324593
2022-06-13,2725219.2464991026,1021500.0965484546,4315994.493868508,2788518.342872518
2022-06-14,2751589.623789076,1014717.2134172693,4323368.818379845,2783198.5954871643
2022-06-15,2748980.2151607717,1015262.3601287621,4333430.356856041,2779817.500932947
2022-06-16,2684483.433077835,1004632.4674003184,4226415.468220409,2721743.796890624
2022-06-17,2672396.041328558,997308.9514514366,4194165.7529007806,2704816.2962936643
2022-06-20,2670617.013450474,992332.1259341155,4156367.223558344,2711357.286176318
2022-06-21,2729178.0239931135,998798.3376137274,4256158.4388990365,2765823.058044855
2022-06-22,2701129.1986445016,996596.8622184834,4215476.677919091,2724210.122210034
2022-06-23,2744979.836405483,999727.430288677,4336362.287732167,2750366.4380219467
2022-06-24,2783135.740978618,999972.8471220203,4386933.907028188,2777219.057586367
2022-06-27,2805102.570674543,995274.8129986423,4421469.7916204715,2800308.068682357
2022-06-28,2815878.953115861,1000222.2967459222,4467503.7264888,2803532.913748907
2022-06-29,2808438.436047059,991261.3082765604,4481442.741843522,2793674.4601603253
2022-06-30,2803701.8110218295,987966.7706853562,4444319.473097268,2790485.345991981
2022-07-01,2826695.3225626843,996733.7366826676,4441838.9090510355,2789849.425127681
2022-07-04,2848689.405165371,1001378.4464961721,4429858.89897942,2806556.383792046
2022-07-05,2835767.2469610153,1003186.1307127698,4418025.074423114,2803692.485772714
2022-07-06,2877158.4546042117,1018894.5661926186,4481277.299326965,2837765.2956599765
2022-07-07,2895336.248973604,1022131.8576985474,4517833.4845905695,2862857.5363502637
2022-07-08,2891442.21820778,1025042.8576091548,4509609.690526388,2877832.4568302874
2022-07-11,2913450.790079619,1033454.3914259131,4562903.443066914,2885129.6359136305
