symbol,qty,entry_date,entry_price,exit_date,exit_price,gross_pnl,charges,dividends,net_pnl,holding_days,exit_reason
HDFCBANK,125,2021-02-03,791.47375,2021-03-12,798.0,815.7812500000006,236.2963334490625,0.0,579.484916550938,37,bear_cross
BAJAJFINSV,104,2021-01-28,904.255,2021-03-15,994.4077743530273,9375.888532714842,234.29353002540958,0.0,9141.595002689433,46,bear_cross
BHARATFORG,27,2021-03-05,642.4019877624511,2021-03-15,617.4525,-673.6361695861797,53.23020437819365,0.0,-726.8663739643733,10,bear_cross
SBIN,411,2020-11-04,204.00875,2021-03-16,384.63600608825686,74237.80225227357,278.8998797914771,0.0,73958.90237248209,132,bear_cross
APOLLOHOSP,8,2020-11-17,2289.71,2021-03-16,2994.4950000000003,5638.2800000000025,61.94257977784,0.0,5576.337420222162,119,bear_cross
NESTLEIND,116,2021-03-16,843.854375,2021-03-18,821.3365319824219,-2612.0697900390614,230.41063453868475,0.0,-2842.4804245777464,2,bear_cross
MUTHOOTFIN,73,2021-02-12,1278.0872744750975,2021-03-19,1233.2092987060548,-3276.0922311401155,219.51714734972467,0.0,-3495.6093784898403,35,bear_cross
ASIANPAINT,40,2021-03-18,2475.0222229003907,2021-03-22,2384.025,-3639.888916015625,231.82232307021047,0.0,-3871.7112390858356,4,bear_cross
LTF,1019,2021-02-17,98.89662652969359,2021-03-24,99.55050304412842,666.3001682090893,240.23812688287464,0.0,426.0620413262146,35,bear_cross
APOLLOHOSP,32,2021-03-17,3087.7,2021-03-24,2950.4554724121094,-4391.824882812492,230.609558912421,0.0,-4622.434441724914,7,bear_cross
BANDHANBNK,293,2021-03-02,342.35375,2021-04-06,337.15500000000003,-1523.2337499999887,236.9298984231325,0.0,-1760.1636484231212,35,bear_cross
EICHERMOT,36,2021-03-23,2685.6974999999998,2021-04-06,2528.463048706055,-5660.440246582015,224.57401827487433,0.0,-5885.01426485689,14,bear_cross
ITC,447,2021-03-23,217.19756938934324,2021-04-13,198.82514717102052,-8212.472731590258,222.82135167387673,0.0,-8435.294083264134,21,bear_cross
SBILIFE,109,2021-04-15,897.2375,2021-04-20,914.7075000000001,1904.2300000000155,234.89959812403,0.0,1669.3304018759854,5,bear_cross
SHRIRAMFIN,345,2021-03-25,282.08345489501954,2021-04-22,262.96094512939453,-6597.265869140629,225.0119729346632,414.0,-6408.277842075292,28,bear_cross
AMBUJACEM,354,2021-02-03,276.7902561187744,2021-04-26,296.2575,6891.4043339538675,240.4846084912972,354.0,7004.919725462571,82,bear_cross
ACC,44,2021-03-24,1913.7724999999998,2021-04-26,1813.4550000000002,-4413.969999999985,198.10341806206,616.0,-3996.0734180620448,33,bear_cross
TCS,31,2021-03-18,3133.7648260498045,2021-04-27,3098.235,-1101.4246075439346,230.33054079896533,0.0,-1331.7551483429,40,bear_cross
TITAN,5,2021-03-18,1489.3139755249022,2021-04-27,1481.2875000000001,-40.13237762451013,31.865584453235613,0.0,-71.99796207774574,40,bear_cross
HINDUNILVR,44,2021-03-16,2226.9034729003906,2021-05-03,2337.1425,4850.517192382809,238.36738468990148,0.0,4612.149807692908,48,bear_cross
CHOLAFIN,154,2021-04-28,566.0114755249023,2021-05-17,529.3732621765137,-5642.284855651845,203.414104761406,0.0,-5845.6989604132505,19,bear_cross
