Date,S0_naive,S1_realfill,S2_realcost,S3_pit,PIT_BUY_HOLD,BENCHMARK_N100
2023-07-27,4635412.70392222,4387804.848291552,2063430.5401876185,927166.1490878557,4547176.543631092,3669243.271476843
2023-07-28,4630635.12503428,4384119.657587206,2061518.356258175,932305.8043612932,4566985.025570471,3672379.5505210846
2023-07-31,4666329.1931495145,4418041.195184862,2077567.8595540735,939741.2935757486,4600657.576688882,3690856.989223695
2023-08-01,4640826.169834085,4393113.528436815,2065954.4248616907,934624.5730900613,4597833.068771773,3687174.42610552
2023-08-02,4593102.233396096,4346236.208893359,2042382.5089184984,919301.8266711977,4534201.330475664,3648562.1912117954
2023-08-03,4571783.264951272,4327831.4943547845,2033038.3479247664,917686.6743884732,4516504.817075082,3623584.780823468
2023-08-04,4590354.824979348,4346034.716333544,2041489.846037332,922515.331283157,4548301.063088758,3649522.963928854
2023-08-07,4573495.77706675,4328696.313013231,2031644.7197573595,926493.3573446735,4576209.468616582,3663207.3038732964
2023-08-08,4569359.995511575,4324029.011377489,2029521.3993838243,935701.2621754626,4577176.720683456,3658588.5654504607
2023-08-09,4597529.542813821,4349863.679956591,2041763.012115758,942929.5828503588,4600900.392483395,3671338.72112318
2023-08-10,4586349.955991311,4338943.791498339,2036501.099487584,942163.4495533922,4596270.0758374315,3654100.2257209024
2023-08-11,4561982.495023293,4318152.216516649,2024884.9526108247,940595.4865635851,4584876.602972547,3635882.0691635082
2023-08-14,4535203.547147317,4291792.938318407,2012601.6778305513,930392.0156582812,4559181.006366713,3630919.386503554
2023-08-16,4547118.787961526,4297384.007318651,2013825.8772806851,930408.26140122,4558361.426419898,3635996.0359565495
2023-08-17,4556384.440915627,4305136.703180468,2017500.0489115445,932106.3181639153,4560772.6476876335,3618492.5821182034
2023-08-18,4550845.749784036,4302703.873804247,2015984.528983566,940686.4026022393,4550607.090318601,3608575.799400955
2023-08-21,4581112.329801125,4339384.242700731,2031378.1755168177,956185.0499258477,4597205.893899675,3627320.08499134
2023-08-22,4596353.803098245,4355292.3948918935,2038586.3122050501,969339.4891984719,4632995.5378385605,3631425.021739711
2023-08-23,4579293.939267678,4335994.059869921,2028592.420435478,961853.839930195,4648416.6608216865,3638356.289433017
2023-08-24,4585483.855557961,4348485.480188524,2033695.476071112,957981.4763129128,4646808.582530336,3631007.106486974
2023-08-25,4558167.139432473,4325254.113367235,2022199.981242136,950676.24083928,4604407.073186461,3606657.9325823924
2023-08-28,4567426.531003518,4330299.835626757,2023889.0800667023,954953.1189444435,4625190.331887789,3615966.2104429314
2023-08-29,4585055.616757913,4336286.071771776,2025252.8315821504,955767.0950110329,4652090.5990034025,3624879.544853777
2023-08-30,4624940.568692727,4362622.663232958,2037637.6412440157,951975.8557227028,4677885.876545604,3627893.7854250204
2023-08-31,4634955.54458384,4371895.276697313,2042171.2187891817,953994.9086249245,4652717.453166794,3608566.7766854824
2023-09-01,4671938.54256968,4398248.177271044,2054345.2595301485,959169.0284293068,4710909.918480775,3642004.588632358
2023-09-04,4664379.350186868,4389782.984094774,2048970.4180552969,962123.909622114,4757078.386562482,3661235.205653823
2023-09-05,4670680.496793313,4398170.030481493,2052883.5629527578,961862.4115294627,4770451.796990237,3669779.503242276
2023-09-06,4677855.533444924,4402994.373834765,2053186.1271349657,961977.3358767292,4769301.997510266,3678585.3873929204
2023-09-07,4683570.342923684,4409118.529993212,2056167.8377367724,970889.1409304402,4807353.690777369,3699643.1461198297
2023-09-08,4710435.608579202,4438594.406732714,2070110.7047106493,981094.9587939045,4851324.677253049,3718165.5561914644
2023-09-11,4747670.374539895,4473407.573572313,2086405.7439257372,995718.8441622517,4918057.184198024,3752235.7604310242
2023-09-12,4681451.60506968,4410987.102686083,2057099.8133532275,970361.7071230671,4808188.822859448,3739868.420757811
2023-09-13,4667761.851651711,4412456.13472954,2057739.6409899462,965735.1677477619,4820714.770763218,3753476.935649465
2023-09-14,4704249.469998879,4444205.570581591,2072614.8027636278,973595.6512453816,4860588.535852805,3762270.2639813763
